n_parameters,computation_time,objective_value,test_case,elec-resistance,memb-cond-correction,alpha-c,B_ch,ionomer-cond-corr,i0-c,Sh,E-act-ca,memb-cond-exp,memb-equiv-weight,gdl-thermal-cond,memb-E-act-cond,gamma-c,memb-abs-constant,ix-corr,ionomer-cond-exp,gdl-eff-diff-ratio,memb-thickness,tcr,gdl-thickness,gdl-abs-perm,pt-loading,ionomer-E-act-cond,memb-water-diff,ic-ratio,radius-carbon,ecsa
10,18.77599573135376,0.00022131155432865153,2,3.4144121774662606e-06,25.15516746370248,0.8104547384056615,1.898923101811722,0.9070975258102902,0.0013132631610063652,8.232224521825776,63809371.91472944,2.0,774.2762862759661,,,,,,,,,,,,,,,,,
10,13.861957311630249,0.00016208370736532702,3,3.4065123775022624e-06,31.932630689537618,0.8627725824333801,1.4478434646400227,0.4968276270155751,0.0008309970524645587,0.7044318006234758,67459617.46556047,1.772931304416053,907.1117455474446,,,,,,,,,,,,,,,,,
10,22.351997137069702,0.00023602974812495105,4,3.2981086139055617e-06,9.58885324038432,0.7815610960038029,1.818771619969224,0.8651015270446227,0.0018785511851266638,9.961492558654175,60332848.24538488,1.7390424038386245,752.2116473095754,,,,,,,,,,,,,,,,,
10,17.78300380706787,0.00024982041149105704,5,3.431479990178627e-06,24.751536088649317,0.7963378654688531,1.939419356860772,0.8108301702655059,0.0016387113004784101,8.78561965159206,61454482.96175794,2.0,775.8377945996066,,,,,,,,,,,,,,,,,
10,16.414546966552734,0.0002555951212373213,6,3.4394099927766965e-06,39.23077494006464,0.7786490404774279,1.8009401740310875,1.2161262452583843,0.0018507617018611497,5.817369337312963,60658637.72192916,2.0,804.7310284359212,,,,,,,,,,,,,,,,,
10,29.78325319290161,0.00023727419139935163,7,3.3042804472103045e-06,20.08584424259728,0.8064876341149358,1.9626066030732696,0.8509820837152156,0.0014797684567865003,9.60344409399631,55553073.12641229,1.9476133927661936,783.4672345884529,,,,,,,,,,,,,,,,,
10,11.252994060516357,0.00024992751210655643,8,3.4618597875850547e-06,27.0833663864589,0.7963820143804485,1.8908593593479737,0.8750924038906576,0.0016055400593303563,7.2560963544860675,61824193.65767516,2.0,778.9586335568029,,,,,,,,,,,,,,,,,
10,20.41241192817688,0.00023395767820611865,9,3.452674186466402e-06,24.820093844555156,0.7967432597808389,1.8888115190005101,0.8912990391808437,0.0015983306226380204,9.964993377531652,62005597.52895829,2.0,764.5939753962969,,,,,,,,,,,,,,,,,
11,32.18017292022705,0.00014418324109735878,1,3.0452011362961862e-06,3.2941157417572087,0.8108838534249911,1.2138351851938112,3.54288676594543,0.0012718168484334522,0.5834057920651593,66693817.443391204,1.3391726273036635,700.0,0.06255486492086193,,,,,,,,,,,,,,,,
11,33.64946508407593,0.00010700455726865765,2,2.910253637445404e-06,1.519021639758653,0.8623545920612037,1.2772661201419722,3.638447914500359,0.0006714838742921269,0.6014358117612055,69929542.9108045,1.1070110357352911,700.0,0.05449885326491884,,,,,,,,,,,,,,,,
11,25.060163021087646,0.0001377723120130617,3,3.1003136129018017e-06,2.5927094659325673,0.8331068105329429,1.163777542790359,1.1696065864168592,0.001060666040216204,0.5678685329234664,65837636.138159126,1.2367744953679587,700.0,0.10930668730097022,,,,,,,,,,,,,,,,
11,40.564305782318115,0.00012624875363468423,4,3.197417084086614e-06,6.937698648637488,0.8294873815215887,1.2048071941172733,2.484336310194825,0.0010118407258893193,0.5804638708649187,67073844.08186928,1.5813531375700363,700.0,0.0711004526613122,,,,,,,,,,,,,,,,
11,14.12282919883728,0.0001418879345318375,5,3.195708236052795e-06,6.460627139659024,0.835656254959277,1.2664896852026444,2.1277485162200995,0.000979098690641665,0.5995321899715468,68382049.26460508,1.5607721981692915,700.0,0.07111432718189128,,,,,,,,,,,,,,,,
11,37.37851095199585,0.00013601375973344365,6,3.306788375721724e-06,22.051654957093813,0.8145967304841513,1.09749935148844,2.6804810805851496,0.0012096138965199444,0.5437955712343071,68282436.83060557,1.8608307506744983,700.0,0.07046939010127777,,,,,,,,,,,,,,,,
11,46.72691774368286,0.00012813822237573705,7,3.2786081353020645e-06,20.518014732095082,0.8631278362725279,1.31886694746149,1.7591354809006619,0.0007163564328281428,0.6190490203828636,66393648.065433435,1.9326738279664395,700.0,0.07825914616846637,,,,,,,,,,,,,,,,
11,55.01964497566223,0.00014893411410852667,8,2.951926306552103e-06,1.9871360064752317,0.8171558577618507,1.105468048427146,5.606054025057134,0.0010592829149903332,0.5465537515222169,65254280.00674586,1.1594634315865477,700.2593175708922,0.05448018156492314,,,,,,,,,,,,,,,,
11,37.761924743652344,0.00010827844745863436,9,3.171382515277294e-06,6.201965614429566,0.9581992451952819,1.7156609395607179,0.8974329141870139,0.00030447490867542836,0.5511534609991189,75558825.67330308,1.4808973408111012,799.1292967327687,0.07406880530555775,,,,,,,,,,,,,,,,
12,38.612054109573364,0.00014616622139198052,1,3.001495565382471e-06,2.3723691651407877,0.8186594129843535,1.2229270610109912,3.115870564050202,0.0011709318786779922,0.5848821873312585,66286662.76750716,1.3469437603064418,700.0,0.06230934547789571,19818728.418801524,,,,,,,,,,,,,,,
12,75.04173493385315,0.0001067171148188491,2,3.161244431756599e-06,1.1324423490134687,0.9207217789414524,1.6069246019037087,1.6979426686263044,0.00037701939686298803,0.7455847092610758,75450093.31191874,1.0119325096586687,913.6409434572082,0.05038627623210762,29793948.731621817,,,,,,,,,,,,,,,
12,18.70062494277954,0.00013991642225906581,3,3.1396117998592435e-06,2.318146361905472,0.8387322500325576,1.131747687105536,1.1165786532654163,0.0009830763276425629,0.556050419366631,67538374.22224021,1.1381362927758665,753.2232132947896,0.10798769203009187,16465211.184313,,,,,,,,,,,,,,,
12,55.13084411621094,0.00012699294840566559,4,3.1370071087424114e-06,4.942745611729405,0.8390615794227557,1.2370260067798573,2.0933304876556234,0.0009263260493195381,0.5901371492061104,68682261.138561,1.4957126587074376,700.0,0.07109407755915316,15217886.842637816,,,,,,,,,,,,,,,
12,47.655625104904175,0.00014338773152330466,5,3.124681708102303e-06,4.663139955581456,0.8249434889941678,1.1961618332548298,3.325612911961502,0.00105389452584109,0.5764627961144542,66872795.14288534,1.3825893671677767,700.0,0.06368253404409874,12383198.834854387,,,,,,,,,,,,,,,
12,34.74765992164612,0.0001454395426280086,6,3.2206966517518884e-06,3.275467510326098,0.8538676695475278,1.3965464357087745,1.9347412559579913,0.0008255267104040063,0.6471933677240251,71465095.88788015,1.1044664544335472,878.1558029956218,0.05,20778950.653693207,,,,,,,,,,,,,,,
12,29.307818174362183,0.0001277669278714164,7,2.9815692719229334e-06,3.1592686947405504,0.8519366364043419,1.2221164803377418,3.1991008137241708,0.0007679111622273353,0.5835151120294078,64181762.35792173,1.3150436290411434,700.0,0.06222463730292227,13998890.657522064,,,,,,,,,,,,,,,
12,32.50015735626221,0.00017023144157451303,8,3.317107163699111e-06,2.693373589586579,0.896033683922526,1.5729229278610628,1.817374114114404,0.0004937181846739096,0.7298538886635294,73229690.12860253,1.0922926201853784,927.3115086263947,0.05027728442824106,25378814.54148128,,,,,,,,,,,,,,,
12,71.35157012939453,0.0001086372236239159,9,3.2828557345292737e-06,13.53270525943637,0.9533861381921205,1.695069945616039,0.8666283750602274,0.0003236346698528746,0.5524075130475802,75124051.3996585,1.7326984462579325,775.734839942416,0.07659115793743985,14401760.976420663,,,,,,,,,,,,,,,
13,58.433826208114624,0.00013495465583060384,1,3.1309115065448903e-06,6.765730709075469,0.8768306781551034,1.1926310173852643,2.2683687758295235,0.0010671577597560276,0.602412485049761,74054677.87067454,1.4638637364483151,700.0074229845312,0.07342204357627795,10176407.504921861,0.8956521824221346,,,,,,,,,,,,,,
13,79.19989109039307,9.864760339547222e-05,2,3.1598308043528817e-06,4.0592044606173685,0.9123087618247687,1.1996964891816961,2.7052812357307987,0.0005513372404888523,0.5890467732415239,73649134.13500556,1.4747327032486095,700.0,0.06330448022850531,19578241.428029984,0.7816517336559541,,,,,,,,,,,,,,
13,58.288378953933716,0.00011115619351477924,3,3.174490804736185e-06,4.613551432392669,0.9456712746263196,1.1449428293622386,0.5842029705787082,0.0006988757723158165,0.5940975144018169,80000000.0,1.3614732528736482,700.0,0.14148688191112344,12147272.51843035,0.9986640138302808,,,,,,,,,,,,,,
13,78.84008026123047,0.0001186337519312412,4,3.2993167437275566e-06,12.603215983220956,0.8881799561349804,1.2295922895675075,1.6349976913611561,0.000813247353125421,0.6035620360837621,74987548.91606669,1.8366094762836527,700.0,0.07909998964148844,18203965.032181647,0.7887202879953334,,,,,,,,,,,,,,
13,78.81145882606506,0.00013150064974183493,5,3.1809033336191477e-06,6.217543397037858,0.8959852410037088,1.1934878946828695,1.6995222019222138,0.0008897649891533298,0.5949160662942671,78737051.66893882,1.4633417372099922,700.0888529822067,0.07235976235824469,11823574.426519949,0.8826030708606307,,,,,,,,,,,,,,
13,26.531625986099243,0.0001447010579923672,6,3.2669981748858776e-06,5.437328412504713,0.9531175728665708,1.5296323979783923,0.6669488828296186,0.0005349689759655456,0.732147114568283,80000000.0,1.0911709337591133,1001.9994541711793,0.061839004826015655,17966468.74444831,0.8776647996415334,,,,,,,,,,,,,,
13,68.40566611289978,0.00011868494192348332,7,3.1689070885742262e-06,12.899606565252165,0.9025353206516054,1.1560978347764328,2.165353630377833,0.0006982303182079821,0.5797870391841602,76315504.10199165,1.6319810393887741,700.0,0.07338753790729813,9185624.366789728,0.8480624060445201,,,,,,,,,,,,,,
13,77.29413485527039,0.00012845571798297584,8,3.2881609793257512e-06,13.446966510758163,0.8655437080997199,0.7770822110184283,5.8095096722562385,0.0011287812936187887,0.4870008186776779,74074335.19746825,1.4763933187235856,700.7461508190052,0.06282488765068583,7505289.768798898,0.99379126524826,,,,,,,,,,,,,,
13,20.914984941482544,0.00010460241561713507,9,3.1127301313570007e-06,6.018260146064563,0.9997271686207765,1.7129521726623176,0.7366244314200717,0.0002456467965225079,0.5595808466386304,80000000.0,1.440093825956028,770.9027982313489,0.07525668802576288,10634170.445630036,0.662184620616077,,,,,,,,,,,,,,
14,35.50806403160095,0.0001558014348858686,1,3.169246165490817e-06,3.4301997502554573,0.9183218267432898,1.4522380860913486,1.6999433422233823,0.0005962910256409383,0.6933406288739532,80000000.0,1.0,991.3346290299855,0.05026224332572138,18266194.430646926,0.7851791716198282,5.9695216953759e-05,,,,,,,,,,,,,
