# 2.25 bars 
i,U
0.056,0.894
0.095,0.882
0.120,0.873
0.138,0.867
0.160,0.861
0.183,0.854
0.218,0.847
0.248,0.840
0.279,0.834
0.315,0.827
0.364,0.819
0.409,0.812
0.477,0.801
0.536,0.793
0.594,0.786
0.641,0.781
0.697,0.775
0.748,0.771
0.809,0.764
0.866,0.759
0.944,0.751
1.011,0.746
1.074,0.740
1.142,0.734
1.193,0.728
1.252,0.723
1.322,0.715
1.381,0.709
1.442,0.703
1.496,0.698
1.545,0.692
1.599,0.686
1.675,0.678
1.746,0.670
1.827,0.660
1.868,0.654
1.918,0.647
2.004,0.635
2.053,0.628
2.114,0.618
2.156,0.613
2.209,0.604
2.257,0.596
2.310,0.587
2.356,0.580
2.403,0.570
2.468,0.559
2.513,0.551
2.552,0.545
2.600,0.536
2.636,0.528
2.679,0.520
2.728,0.511
2.794,0.497
