# 2.50 bars 
i,U
0.057,0.900
0.070,0.892
0.082,0.884
0.101,0.875
0.127,0.866
0.145,0.861
0.168,0.856
0.200,0.850
0.234,0.845
0.267,0.840
0.296,0.835
0.331,0.829
0.355,0.824
0.388,0.820
0.423,0.814
0.467,0.807
0.527,0.800
0.577,0.793
0.632,0.787
0.685,0.783
0.740,0.778
0.789,0.775
0.845,0.771
0.898,0.767
0.953,0.763
1.030,0.758
1.124,0.750
1.192,0.744
1.254,0.738
1.314,0.732
1.364,0.726
1.434,0.719
1.514,0.712
1.587,0.703
1.643,0.697
1.707,0.691
1.769,0.685
1.826,0.679
1.892,0.672
1.972,0.663
2.040,0.657
2.124,0.648
2.192,0.640
2.265,0.632
2.358,0.621
2.429,0.610
2.508,0.600
2.572,0.591
2.624,0.584
2.691,0.575
2.750,0.566
2.822,0.555
2.879,0.546
2.918,0.537
2.956,0.531
2.988,0.524
