# 1.5 bars 
i,U
0.050,0.900
0.068,0.882
0.089,0.865
0.110,0.850
0.147,0.834
0.185,0.823
0.233,0.811
0.293,0.794
0.352,0.781
0.395,0.772
0.455,0.761
0.510,0.752
0.556,0.745
0.620,0.735
0.672,0.728
0.738,0.719
0.799,0.712
0.850,0.706
0.892,0.700
0.942,0.694
1.039,0.681
1.139,0.668
1.212,0.660
1.269,0.653
1.360,0.641
1.432,0.634
1.525,0.622
1.604,0.610
1.683,0.599
1.765,0.586
1.878,0.570
1.966,0.556
2.050,0.540
2.109,0.530
2.151,0.521
2.188,0.513
2.230,0.504
2.246,0.500
